,country,total_cases,new_cases,total_deaths,new_deaths,total_rec,active_cases,critical,tot_cases_1mpop,deaths_1mpop,total_tests,tests_1mpop,demo_idx,gdp
194,Montserrat,11,,1.0,,2,8,1.0,2204.0,200.0,36.0,7212.0,,
195,Greenland,11,,,,11,0,,194.0,,1200.0,21138.0,,
196,Seychelles,11,,,,6,5,,112.0,,,,,33118.0
197,Gambia,10,,1.0,,8,1,,4.0,0.4,401.0,166.0,4.33,
198,Suriname,10,,1.0,,7,2,,17.0,2.0,404.0,689.0,6.98,16044.0
199,MS Zaandam,9,,2.0,,,7,,,,,,,
200,Vatican City,9,,,,2,7,,11236.0,,,,,
201,Papua New Guinea,8,,,,,8,,0.9,,604.0,68.0,6.03,4081.0
202,Mauritania,7,,1.0,,6,0,,2.0,0.2,1032.0,222.0,3.92,5158.0
203,Bhutan,7,,,,4,3,,9.0,,9829.0,12738.0,5.3,10627.0
204,British Virgin Islands,6,,1.0,,3,2,,198.0,33.0,,,,
205,St. Barth,6,,,,6,0,,607.0,,,,,
206,South Sudan,6,,,,,6,,0.5,,,,,1715.0
207,Western Sahara,6,,,,5,1,,10.0,,,,,
208,Caribbean Netherlands,5,,,,,5,,191.0,,110.0,4195.0,,
209,Sao Tome and Principe,4,,,,,4,,18.0,,19.0,87.0,,
210,Anguilla,3,,,,3,0,,200.0,,,,,
211,Saint Pierre Miquelon,1,,,,,1,,173.0,,,,,
212,Yemen,1,,,,1,0,,0.03,,120.0,4.0,1.95,2312.0
